Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,score,rank
3925368433214965504,0.0016309532819645325,3292.89488643,0.21874098586101728,-0.009258760712956615,0.4147368421052632,197,475,692.2663771101818,70.0
4002413037164645377,0.0015210133855861085,3739.34731972,0.15965534436844864,-0.04933657397658827,0.44782608695652176,309,690,797.9063491390419,65.0
3923766029921022977,0.00035122503566748555,51.96999999999999,0.08020441886867578,-0.003733069045259346,0.4,6,15,11.500857742589918,128.0
3994879592543698688,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3926423286576838657,0.000618760636434216,-3.0480800600000197,-0.0010752533930205503,-0.006653709881227011,0.43373493975903615,36,83,5.384996925400828,131.5
3987739404272887297,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4030395639953224449,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3953433416230728705,0.00045932496784693595,-139.71000006000003,-0.04347056345327104,-0.006653709881227011,0.391304347826087,27,69,-23.110141082938238,138.0
3919174299855478272,0.001057694192132931,376.73699992999997,0.07537745731532582,-0.006653709881227011,0.42201834862385323,46,109,83.15621959314012,122.0
4029749871687083265,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4013978721149559808,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3878631538480067329,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3996598927198996481,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4017323550554338817,0.0010242069100699406,445.07999993,0.07680700978218467,-0.006653709881227011,0.3904109589041096,57,146,99.2219380672051,114.0
3988205565930333696,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3978449781300392193,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4031181049693676544,0.0016691358432382453,2987.69231979,0.2104276122188611,-0.009258760712956615,0.4246575342465753,186,438,628.8252008131797,82.0
4011626972687000576,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4023697881318718465,0.0005474159710356548,-36.43000006000002,-0.010779868018764531,-0.006653709881227011,0.39473684210526316,30,76,-1.947242076222778,134.0
4041804592937345281,0.001578199607540553,3577.46731972,0.15964215759540373,-0.04933657397658827,0.43837753510140404,281,641,761.679413083746,68.0
4031173908980084736,0.0004546256143484097,-168.74000006000003,-0.054146746978099854,-0.006653709881227011,0.38461538461538464,25,65,-29.21894615583497,140.0
3891020560590657281,0.0015719613875653697,3136.9564864599997,0.2020892102903953,-0.013823625319401952,0.40702479338842973,197,484,661.5254967307384,73.0
3956076827719377409,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4021669203289716224,0.00034207937182929296,10.9,,0.0,1.0,1,1,,
3944239644144231424,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3998572645139652353,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4031451549482615297,0.0016076680134555776,3270.58515312,0.21618697060773082,-0.009258760712956615,0.4112734864300626,197,479,688.00356865251,71.0
4033639786957934336,0.0017148768278129804,1831.27003792,0.17735937256659826,-0.006653709881227011,0.43944636678200694,127,289,387.13509781253333,101.0
4029422834086627072,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3914654298562589441,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4030565764341697025,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4034786679304751616,-6.596830220070489e-05,-289.665,-0.16565214754696012,-0.006653709881227011,0.2857142857142857,6,21,-56.58624145262217,149.0
4029299190618134272,0.0014460998398593762,2808.7929198,0.14869806861581494,-0.04933657397658827,0.39453125,202,512,597.5379332334865,84.0
4030555430101054209,0.0019186917386569832,2076.13240988,0.19016715546855495,-0.006653709881227011,0.4588607594936709,145,316,438.3621159633671,97.0
4031414524297538817,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3986814617275053313,0.0011487061237337838,384.01699992999994,0.07546476344514952,-0.006653709881227011,0.4424778761061947,50,113,85.01430120950063,121.0
4019895412775450368,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4026179081117855488,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4036548677626662656,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4017110277719148289,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
